lr,epochs,mse
0.1,100,9.040268898010254
0.2,100,9.114266395568848
0.3,100,9.482500076293945
0.4,100,19.166259765625
0.5,100,18.700557708740234
0.6,100,19.67342185974121
0.7,100,40.429779052734375
0.8,100,47.14877700805664
0.9,100,51.72351837158203
0.1,500,0.000322045263601467
0.2,500,0.5953570008277893
0.3,500,9.060408592224121
0.4,500,9.479226112365723
0.5,500,9.072521209716797
0.6,500,9.033884048461914
0.7,500,10.876601219177246
0.8,500,9.079611778259277
0.9,500,9.861976623535156
0.1,1000,0.05573481693863869
0.2,1000,9.123485565185547
0.3,1000,9.040818214416504
0.4,1000,9.002002716064453
0.5,1000,8.911935806274414
0.6,1000,9.037284851074219
0.7,1000,9.932987213134766
0.8,1000,9.171144485473633
0.9,1000,9.053251266479492
